Ime,Opis recepta,Uporabnik,Datum,ID recepta,Priložnost,Priprava,Sezona,Vrsta jedi,Čas priprave,Sestavine,Postopek
Domač puding iz jurke,odlična domača verzija sadnega pudinga ali kako porabiti višek grozdja,Urko_,29.6.2017,21375,"rojstni dan otroka, martinovo",kuhanje,,sladice,240 minut,"1. Jurkin sok na jesen pripravimo iz 2 kg jurke, 1 l vode in 100 g sladkorja. Grozdje operemo, razpecljamo ter ga v loncu na rahlo (da ne predremo pečk) pretlačimo. Potresemo s sladkorjem, dodamo vodo in kuhamo kakšnih 10 minut. Ohlajeno čez noč postavimo v hladilnik. Drugi dan vse skupaj precedimo, tropine pa s pomočjo cedila tudi dobro stisnemo. Tako pripravljen sok lahko shranite v vrečkah v skrinji.2. Za puding zavremo mleko, dolijemo jurkin sok, v katerega smo prej vmešali moko. Počakamo, da zavre, in na majhnem ognju ob mešanju kuhljamo še kakšnih 5 minut. Po potrebi dosladkamo.3. Še vročega vlijemo v lončke in počakamo, da se shladi. Odlično se ujame z vanilijevim sladoledom.",7 dl jurkinega soka 5 dl mleka 100 g ostre moke 

Pečene marelice s kokosovim nadevom,"božanske marelice z nadevom, ki spominja na Rafaelo",KitiM,3.7.2017,21376,,"pečenje, kuhanje",poletje,sladice,30 minut,"1. Marelice operemo in jih po dolgem prerežemo na pol, tako da lahko odstranimo koščice. Na pekač položimo peki papir in na njega postavimo marelice obrnjene navzgor.2. V posodi zavremo sladko smetano s sladkorjem in vanilijevo aromo. Ko zavre, zmanjšamo ogenj, dodamo kokosovo moko, odstavimo z ognja in dobro premešamo. Nekoliko ohladimo in z nadevom bogato napolnimo vsako marelico.3. Pekač položimo v predhodno segreto pečico na cca. 150-160 stopinj (odvisno od pečice) in pečemo cca. 15 minut, dokler se nadev rahlo rjavkasto ne obarva. Če marelice niso dovolj čvrste, se čas peke skrajša, saj se drugače marelice kar ""razlezejo"" in preveč zmehčajo.","cca. 9 - 10 velikih čvrstih marelic (ali več, če so manjše) 1 skodelica (cca. 200 g) sladke smetane 1 skodelica sladkorja 3 skodelice kokosove moke 1 žlička vanilijeve arome peki papir "

Arančini - riževe kroglice Montalbano,"Proxima se je sprehajala ob obali pred njegovo hišo, jaz pa prispevam recept jedi, ki jo simpatični italijanski inšpektor Salvatore (Salvo) Montalbano rad je v lokalni trattorii.",mamamia,10.7.2017,21377,,"pečenje, cvrtje","pomlad, poletje, jesen",glavne jedi,90 minut,"1. Vodo za riž zavremo in jo solimo, potem vsujemo riž in ga skuhamo. Riž nikakor ne sme biti razkuhan, naj bo kuhan al dente. Razgrnemo ga v čim tanjši plasti, da se hitro ohladi.2. Za ragu najprej prepražimo sesekljano čebulo in česen, potem dodamo mleto meso. Ko porjavi, dodamo origano, sol in poper, lahko tudi žlico vina. Premešamo in dodamo paradižnik, Omaka naj bo gosta. Na koncu dodamo še narezano mocarelo in ko se stopi, dodamo še sesekljan peteršilj.3. Ohlajen riž damo v skledo, dodamo jajci in drobtine ter parmezan. Z rokami nežno premešamo, da dobimo gosto zmes, ki jo lahko oblikujemo v kroglice. Na dlan damo pest riža, poravnamo, na sredino damo toliko omake, da jo lahko prekrijemo z rižem in oblikujemo kroglice, velike naj bodo za pest.Vsako kroglico povaljamo v drobtinah in do zlato rjave barve ocvremo v olju.4. Kroglice odcedimo na papirnatem prtiču. Preden jih postrežemo, naj stojijo okoli 10 miut, da riž vpije omako.","Za maso za kroglice: 400 g okroglozrnatega riža (arborio na primer) 1,2 l vode sol žlica krušnih drobtin 2 jajci 100 g naribanega parmezana Za ragu: 600 g mletega mesa 1 srednje velika čebula 3 stroki česna 3 dl pasiranega paradižnika ali konzerva pelatov 100 g mocarele origano sol, poper sesekljan peteršilj po želji žlica vina Za cvrenje: drobtine olje "

Whoopies z meto in čokolado,Okus After Eight.... fini čoko keksi...,SMARTY1,11.7.2017,21378,"martinovo, božič, pust, valentinovo, velika noč, novo leto, piknik, rojstni dan otroka, miklavževo",pečenje,"zima, pomlad, poletje, jesen",sladice,90 minut,"1. Penasto vmešamo maslo, sladkor, aromo mete in zeleno barvo. Dodajamo eno po eno jajce in mešamo. Na koncu dodamo moko s pecilnim praškom in ščepcem soli  ter vse premešamo.Dobimo mehko in lepljivo maso. Pekač obložimo s papirjem za peko in vklopimo pečico na 180 stopinj.2. Od mase trgamo manjše koščke. Z vlažnimi rokami delamo kroglice in jih odlagamo na pekač.  Vsako kroglico malce sploščimo z vlažnimi prsti, naj vas neravnine ne morijo, ker bodo izginile med peko. Med kroglicami pustimo nekaj prostora, ker se med peko podvojijo. Pečemo jih 15-18 minut. Ko so piškoti pečeni, jih ohladimo.3. Sladko smetano segrejemo do vrenja. Dodamo obe čokoladi, nalomljeni na kockice. Počakamo eno minuto in mešamo, dokler se čokolada ne stopi. Dodamo par kapljic arome mete in premešamo. Pustimo, da se masa ohladi, potem jo postavimo v hladilnik.4. Ohlajene piškote mažemo z nadevom in jih lepimo dva po dva.","100 g mehkega masla 100 g sladkorja 2 jajci 1 žlička arome mete + malo zelene barve v gelu oz. po želji 250 g gladke moke 0,5 žličke pecilnega preška ščep soli Nadev: 1,5 dl sladke smetane 150 g jedilne čokolade 50 g mlečne čokolade + par kapljic arome mete "

Bučno - piščančje roladice,"ko nam včasih ostane kaj kuhanega ali pečenega piščančjega mesa, naredimo s še malo dodanimi sestavinami dobro novo jed ... recept pa posvečam naši zidarki Anemiilat, ki danes praznuje ... vse najboljše draga Anemiilat :)",Vrtejbenka,14.7.2017,21379,piknik,"pečenje, dušenje","poletje, jesen",glavne jedi,45 minut,"1. Čebuli narežemo na kocke in ju podušimo na par žlicah olivnega olja. Dodamo sladko in dimljeno papriko, kumino, sol, poper, sesekljan peteršilj in polovico paradižnikove omake ter vse skupaj še malo pokuhamo. Čebulni masi dodamo natrgano kuhano ali pečeno piščančje meso, premešamo. Ko se masa ohladi, zamešamo vanjo še polovico naribanega sira.2. Bučki narežemo na mesoreznico na tanke rezine, okrog 2 mm. Na pladenj položimo tri rezine, tako da se malo prekrivajo. Na vrh rezin položimo 2-3 žlice piščančje mase in zvijemo. Bučne roladice polagamo eno zraven druge v pekač.3. Ko smo napolnili pekač z roladicami, jih  prelijemo s preostalo paradižnikovo omako. Po vrhu potresemo še malo peteršilja in naribanega sira. Pečemo v ogreti pečici na 180 stopinjah približno 25 - 30 minut.","35 dag že kuhanega ali pečenega piščančjega mesa 2 večji beli čebuli 1 žlička sladke paprike 1 žlička dimljene paprike 1 žlička kumine v prahu šopek peteršilja 2,5 dl paradižnikove omake 20 dag sira sol, poper 2 daljši bučki "

Brownie skledice,dobro in lepo,HOFER Slovenija,14.7.2017,21380,,,,sladice,60 minut,"1. V veliki skledi zmešamo maslo sobne temperature ter kristalni in vanilijev sladkor. Dodamo jajca, moko, kakav v prahu, pecilni prašek in sol ter mešamo, da nastane kremasto testo. Prvi pekač napolnimo s testom do dveh tretjin, drugega pa na spodnji strani namastimo z maslom in narahlo pritisnemo v prvi pekač, da nastanejo skledice. Količina testa zadostuje za 8 skledic.2. Testo pečemo 20 minut pri 180 stopinjah z vključenim spodnjim in zgornjim gretjem. Skledice dobro ohladimo in napolnimo s kepico sladoleda po svojem okusu.",250 g bio masla NATUR AKTIV 400 g kristalnega sladkorja AGRAGOLD 1 zavojček vanilijevega sladkorja BELLA 4 bio jajca NATUR AKTIV 250 g pšenične moke KORNGOLD 50 g kakava v prahu BELLA pol zavojčka pecilnega praška BELLA malo soli PIRANSKE SOLINE 2 pekača za mafine poljuben sladoled 

"Fokača z rožmarinom, slanino in mocarelo",idealno za na mizo ob pikniku,Fala Slonček,15.7.2017,21381,piknik,,,tople predjedi,45 minut,"1. Vodo in moko dobro premešamo, pokrijemo s folijo in pustimo počivati nekaj ur na hladnem.2. Nato dodamo v posodo kislo testo, nadrobimo kvas Fala, moko in mešamo najprej počasi, nato na najvišji hitrosti deset minut. Ko je testo povsem prožno, se svetlika in odstopa od posode,  dodamo nasekljane lističe rožmarina in sol. Testo mešamo še dobrih pet minut, da se rožmarin in sol enakomerno vmešajo. Čisto na koncu dodamo vodo in premešamo le toliko, da se voda razporedi po testu. To bo pripomoglo, da bodo v kruhu nastale luknjice. Posodo pokrijemo in damo počivati.3. V času počivanja testo razvlečemo in štirikrat preložimo na pol ure. Testo raztegujemo tako, da na gornji strani posode (na nasprotni od sebe) primemo za testo in ga vlečemo navzgor, nato pa položimo preko dela, ki je ostal na dnu posode.  Nato posodo zavrtimo za 90 stopinj in znova raztegnemo in zavihamo testo ter še dvakrat ponovimo, da naredimo krog. Ko raztegujemo testo, začutimo, da postaja bolj čvrsto, saj smo na ta način okrepili glutenske vezi. Čez pol ure postopek ponovimo, in nato še dvakrat (skupaj štirikrat), nato pustimo testo vzhajati.Nato damo testo v hladilnik in ga pustimo počivati/vzhajati čez noč (vsaj 8 ur).4. Vzhajano testo stresemo na peki papir v pekač, ga s pomočjo naoljenih dlani nežno razvlečemo na vse štiri strani, da dobimo enako debelo plast testa. Testo posujemo z mocarelo, slanino, mletim rožmarinom, domačimi zelišči, poprom, jo pokapljamo z oljčnim oljem, nato jo damo vzhajati na toplo.5. Vzhajano fokačo prestavimo v vročo pečico in jo pečemo 15 minut na 230 stopinjah.","1. Faza 3 dl vode 40 dag bele moke 2. Faza 1/4 kocke kvasa Fala 15 dag kislega testa vejica rožmarina 1,5 male žlički soli 0,5 dl vode Nadev: 10 dag slanine 25 dag mocarele vejica rožmarina zelišča po okusu poper oljčno olje "

Vanilijeva zmrzlina z gozdnimi sadeži,idealna sladica za vroče dni,HOFER Slovenija,16.7.2017,21382,,zamrzovanje,,sladice,240 minut,"1. Vanilijeva zmrzlina:rumenjake in sladkor v prahu stepamo z električnim mešalnikom, dokler zmes ne postane svetla. Iz beljakov stepemo trd sneg, ki mu med mešanjem postopoma dodajamo kristalni sladkor. Smetano stepemo in ji primešamo vanilijo. V jajčno zmes najprej rahlo umešamo sneg, nato rahlo umešamo  še stepeno smetano. Maso damo v okrogle posode za zamrzovanje ali silikonske modelčke ter jo postavimo v zamrzovalnik vsaj za 8 ur.2. Sadni preliv iz gozdnih sadežev:gozdne sadeže sladkamo ter jih 10 minut kuhamo v mešanici vina, teranovega likerja in limoninega soka. Polovico sadežev pretlačimo s paličnim mešalnikom, da dobimo gost preliv, v katerega nato s kuhalnico umešamo še drugo polovico gozdnih sadežev. Preliv ohladimo in ga pred serviranjem polijemo čez vanilijevo zmrzlino.",Za vanilijevo zmrzlino: 2 jajci OKUS PODEŽELJA 60 g sladkorja v prahu DIAMANT 60 g kristalnega sladkorja DIAMANT 250 ml sladke smetane MILFINA noževa konica burbonske vanilije BELLA Za sadni preliv: 500 g zamrznjenih gozdnih sadežev SWEET VALLEY 100 g sladkorja DIAMANT 200 ml polsuhega belega vina 2 čajni žlički teranovega likerja iz kleti VINAKRAS sok 1 limone 

Masleni polžki z marelicami in meto,poletni prigrizek,Fala Slonček,16.7.2017,21383,,pečenje,"pomlad, poletje",sladice,45 minut,"1. Kvas Fala raztopimo v  toplem mleku in ga prilijemo k presejani moki. Dodamo ostale sestavine brez olja in zamesimo kvašeno testo. Med mešanjem postopno dodajamo olje po kapljicah in mešamo tako dolgo, da postane testo gladko. Testo pokrijemo in damo na toplo vzhajati.2. Vzhajano testo stresemo na pult, ga pregnetemo in pustimo počivati nekaj minut. Ta čas zmešamo zmehčano maslo, sladkor, vanilin sladkor in nasekljane lističe mete. Marelice narežemo na majhne koščke.3. Spočito testo razvaljamo, ga premažemo z maslom in posujemo koščke marelic. Nadevano testo zvijemo tesno skupaj v zavitek, tega pa razrežemo na rezine. Rezine zložimo na peki papir na pekač in jih pustimo vzhajati.4. Vzhajane polžke premažemo s stepenim jajcem in postavimo v vročo pečico – pečemo jih približno 25 minut pri 175 stopinjah, da se lepo obarvajo.","Testo: 1 kocka kvasa Fala 50 dag moke 1 dl mleka 12 dag sadnega jogurta 4 dag sladkorja 2 jajci 6 žlic olja 2 žlici ruma 1,5 male žličke soli Nadev: 40 dag marelic 15 dag masla 10 dag sladkorja 2 vanilijeva sladkorja šopek mete jajce za premaz "

Panasoja z jagodami,"sladica, s katero boste navdušili še najbolj zahtevne goste",HOFER Slovenija,17.7.2017,21384,,,,sladice,60 minut,"1. Agar, kristalni sladkor in 50 ml sojinega napitka dobro premešamo. Preostanek sojinega napitka skupaj z vaniljevo sredico zavremo, prilijemo mešanico z agarjem in pustimo, da rahlo vre približno 2 minuti. Z mrzlo vodo oplaknemo 4 skledice, jih napolnimo z maso in za približno 4 ure postavimo v hladilnik.2. Medtem operemo jagode. Polovico jih narežemo na kocke, drugo polovico pa potresemo s sladkorjem v prahu in pustimo počivati približno 20 minut. Cele jagode nato stresemo v kozico, zavremo in pustimo, da rahlo vrejo približno 5 minut.3. Ko se jagode ohladijo, jih pretlačimo s paličnim mešalnikom. Nato jih precedimo in dodamo še na kocke narezane jagode. Postrežemo na krožniku skupaj s panasojo.",3 g agarja 30 g kristalnega sladkorja AGRAGOLD 400 ml sojinega napitka sredica vanilijevega stroka 400 g jagod 30 g sladkorja v prahu DIAMANT 

Poljubčki z jagodami,lepo in dobro pecivo za na vsako mizo,Fala Slonček,17.7.2017,21385,,pečenje,,sladice,60 minut,"1. Kvas Fala raztopimo v toplem mleku. V posodo odmerimo sol, moko, jajca, rum in prilijemo raztopljeni kvas. Premešamo in med mešanjem postopno dodajamo olje. Na koncu mešamo nekaj minut na najvišji hitrosti, da se sestavine dobro povežejo. Ko postane testo gladko, ga pokrijemo in damo na toplo vzhajati.2. Vzhajano testo stresemo na pult, ga pregnetemo in pustimo nekaj minut počivati.  Nato ga razrežemo na manjše koščke in vsakega med dlanmi oblikujemo v kroglico. Kroglice zložimo na pekač in jih pustimo vzhajati. Ko so kroglice skoraj do konca vzhajale,  v vsako pritisnemo na sredini s prstom ali drugim okroglim predmetom, da naredimo prostor za nadev. V vsako luknjico damo pol žličke marmelade in jo prekrijemo z jagodo.3. Poljubčke premažemo s stepenim jajcem, jih pustimo še nekaj minut vzhajati, nato jih  prestavimo v vročo pečico. Pečemo jih približno 25 minut pri 175 stopinjah, da se lepo obarvajo.",Testo: 1 kocka kvasa Fala 3 dl mleka 75 dag moke 5 dag sladkorja 4 jajca 5 žlic olja 3 žlice ruma 2 mali žlički soli Nadev: 1 kg jagod 15 dag marmelade 1 jajce za premaz 

Praznični piškoti,popestritev vsake praznične mize,HOFER Slovenija,17.7.2017,21386,,pečenje,,sladice,180 minut,"1. Vse sestavine za testo dobro pregnetemo, nato testo zavijemo v folijo za živila in ga za eno uro postavimo v hladilnik. Ohlajeno testo tanko razvaljamo med dvema gospodinjskima folijama. Z modelčki izrežemo poljubne oblike piškotov, ki jih na namaščenem pekaču pečemo 12 minut pri 200 stopinjah.2. Za glazuro nad soparo stopimo čokolado in margarino. Ko se glazura rahlo ohladi in je še mlačna, z njo premažemo ohlajene piškote. Če želimo, lahko pripravimo tudi glazuro iz bele čokolade in z njo še dodatno okrasimo piškote.",Za testo: 200 g gladke moke KORNGOLD 30 g kakava v prahu BELLA 150 g masla MILFINA 100 g sladkorja DIAMANT ščepec soli 1 rumenjak iz jajc OKUS PODEŽELJA 2 žlici mleka MILFINA malo masla MILFINA (za namastitev pekača) Za čokoladno glazuro: 100 g temne čokolade CHOCEUR 30 g margarine BELLASAN 

Rezine z orehi in figami,"pecivo, ki bo navdušilo tako vas kot vaše goste",Fala Slonček,18.7.2017,21387,,pečenje,,sladice,60 minut,"1. Kvas Fala raztopimo v toplem mleku in ga zmešamo z rumom, rumenjaki, tekočim jogurtom in sladkorjem. Sestavinam primešamo moko,  nato dodamo sol in mešamo najprej počasi, med mešanjem postopno dodajamo zmehčano maslo. Na koncu mešamo deset minut na najvišji hitrosti, da postane testo gladko in odstopa od posode. Testo pokrijemo in ga pustimo vzhajati.2. Med vzhajanjem pripravimo nadev. V posodi zavremo mleko in primešamo ajdovo kašo, ringlo ter kuhamo, da se zmehča in ringlo razpusti, tik pred koncem dodamo deset dag sladkorja. V nadev, ki je postal gost in kompakten, vmešamo orehe in ga damo hladiti. Beljake stepemo v trd sneg ob postopnem dodajanju preostalega sladkorja. V mlačen nadev primešamo sneg in kislo smetano ter do konca ohladimo. Fige narežemo na rezine.3. Vzhajano testo stresemo na pult, ga pregnetemo, razdelimo na tri dele in pustimo počivati nekaj minut. Zatem vsak kos testa na tanko razvaljamo in prvega položimo na pekač. Premažemo ga z nadevom in tega prekrijemo z rezinami fig. Čez fige položimo drugo plast testa, ponovno obložimo z nadevom in figami ter te prekrijemo z zadnjo plastjo testa.4. Pecivo pustimo pol ure ponovno vzhajati, zatem ga premažemo s stepenim jajcem in prestavimo v vročo pečico. Pečemo ga 45 minut pri 175 stopinjah. Če je treba, ga prekrijemo s folijo, da bi se na vrhu ne zapekel preveč. Ko se pecivo ohladi, ga razrežemo na rezine.","Testo: 1 kocka kvasa Fala 2,5 dl mleka 3 dl tekočega jogurta 76 dag moke 8 dag masla 6 dag sladkorja 3 rumenjaki 2 žlici ruma 2 mali žlički soli (10 g) Nadev: 1 kg fig 40 dag ringloja 30 dag orehov 18 dag ajdove kaše 15 dag sladkorja 2,5 dl mleka 25 dag kisle smetane 3  beljaki "

Cimetove zvezdice (brez glutena),"enostavno, lepo (in zdravo) pecivo za vse letne čase",HOFER Slovenija,19.7.2017,21388,"piknik, novo leto, miklavževo, martinovo, božič",,,sladice,75 minut,"1. Iz dveh beljakov, ščepca soli in 200 g sladkorja v prahu stepemo sneg, ki mu nežno vmešamo mandlje, cimet in mleto kavo. Testo pokrijemo s folijo za živila in ga najmanj 30 minut pustimo počivati v hladilniku.2. Testo razdelimo na manjše dele, ki jih s pomočjo papirja za peko ali vrečke za zamrzovanje tanko razvaljamo. Z modelčkom izrežemo zvezdice, jih položimo na pekač, obložen s papirjem za peko, in jih pri 150 stopinjah pečemo 15–20 minut.3. Za glazuro dobro zmešamo beljak in 100 g sladkorja v prahu. Vanjo enakomerno pomakamo ohlajene zvezdice, ki jih položimo na rešetko, da se dobro odcedijo.",3 beljaki iz jajc OKUS PODEŽELJA 300 g sladkorja v prahu DIAMANT ščepec soli 300 g neolupljenih in drobno mletih mandljev HAPPY HARVEST noževa konica mlete kave AROMATICA 1 čajna žlička cimeta LE GUSTO 

Spletena skutna potička z marelicami,marelice malo drugače,Fala Slonček,19.7.2017,21389,,pečenje,,sladice,45 minut,"1. V posodo odmerimo mokre sestavine (polovico mleka, jogurt, rumenjake) in v preostalem mleku raztopljeni kvas Fala ter sladkor. Premešamo, dodamo moko in med počasnim mešanjem postopno dodajamo na lističe narezano maslo. Zadnjih deset minut mešamo na najvišji hitrosti, da postane testo gladko in se ne trga, če poskušamo s prsti kroglico testa razvleči. Posodo pokrijemo in damo testo na toplo vzhajati.2. Vzhajano testo stresemo na pult, pregnetemo in pustimo počivati nekaj minut. Ta čas pripravimo nadev. Iz beljaka stepemo sneg, med mešanjem mu postopno dodajamo sladkor. Sneg vmešamo v skuto, marelice narežemo na manjše koščke.3. Spočito testo razvaljamo na pravokotnik, ga premažemo s skuto in posujemo sadje, nato ga zvijemo v zavitek. Zavitek položimo na peki papir, nato pa razrežemo po dolžini na pol na dva pramena, tako da se na eni strani še drži skupaj. Oba nastala pramena nato prepletemo med seboj. S pomočjo peki papirja, na kateri je spletena potička, jo previdno prestavimo na pekač. Premažemo jo s stepenim jajcem in damo na toplo vzhajati.4. Vzhajano spleteno potičko damo v vročo pečico. Pečemo jo pri 175 stopinjah približno 45 minut, da se lepo obarva. Po potrebi jo prekrijemo s folijo, da bi se po vrhu ne zapekla preveč.",Testo: 1 kocka kvasa Fala 3 dl mleka 78 dag moke 15 dag jogurta 8 dag masla 8 dag sladkorja 3 rumenjaki 2 mali žlički soli Nadev: 1 kg marelic 50 dag skute 2 beljaka 12 dag sladkorja 1 jajce za premaz 

Mešan pirin kruh s kislim testom,"pirin kruh, ki vam ga bodo vsi zavidali",Fala Slonček,20.7.2017,21390,,pečenje,,,240 minut,"1. Vodo in moko dobro premešamo, pokrijemo s folijo in pustimo počivati vsaj dve uri (lahko zamesimo zvečer in nadaljujemo drugo jutro, ali pa zjutraj pred odhodom v službo in zaključimo popoldne).2. Nato dodamo v posodo kvas Fala in kislo testo, mešamo najprej počasi, nato na najvišji hitrosti deset minut. Če nimamo kislega testa, jih lahko pripravite tudi brez tega – postopek le ustrezno skrajšate. Aroma bo sicer malo manj izrazita in okus manj poln kot pri kruhu s kislim testom.3. Ko je testo povsem prožno, se svetlika in odstopa od posode, dodamo še sol in semena ter testo dobro premešamo, da se sol in semena enakomerno vmešajo.4. Testo pustimo počivati pol ure, nato ga razvlečemo in preložimo tri do štirikrat na pol ure. Testo raztegujemo tako, da na gornji strani posode (na nasprotni od sebe) primemo za testo in ga vlečemo navzgor, nato pa položimo preko dela, ki je ostal na dnu posode. Obrnemo posodo za četrtino in znova povlečemo, položimo; obrnemo za četrt posode in spet povlečemo, položimo, ... ponovimo štirikrat oziroma, dokler ne začutimo, da je šibko testo postalo čvrsto - s tem smo okrepili glutenske vezi. Spet pustimo počivati pol ure in nato znova raztegujemo in prelagamo - postopek ponavljamo na pol ure še trikrat. Nato ga pustimo vzhajati vsaj pet ur na sobni temperaturi.5. Po večurnem vzhajanju bo testo polno mehurčkov. Stresemo ga na gladko površino (lahko jo premažemo z oljem)  in s pomočjo lopatke od vseh strani zavihamo testo proti sredini, da nakažemo obliko hlebčka. Tega nato s pomočjo lopatke obrnemo, da bo gladka površina na vrhu, po potrebi ob straneh previdno še malo popravimo obliko in ga pustimo počivati 15 - 30 minut. Nato oblikujemo hlebec. Najprej hlebček spet obrnemo na rahlo pomokano površino in z vseh strani zavihamo testo proti sredini (tudi roke si pred tem posujemo z moko, lahko si pomagamo z lopatko), da dobimo hlebček primerne velikosti. Znova ga obrnemo, da je gladka stran na vrhu in dokončamo oblikovanje.  Z dlanmi nežno potiskamo  testo od strani pod sam hlebček in hlebček pri tem istočasno vrtimo, da dobimo bolj gladko gornjo površino hlebca. Če želimo imeti večje luknje v sredici, moramo to narediti čim bolj nežno, z bolj intenzivnimi gibi pa bo sredica bolj enotna z manjšimi luknjami. Hlebček položimo v pomokan pehar z gladko stranjo na dnu peharja. Kruh pustimo vzhajati na toplem, da doseže želeni volumen; če imamo čas, ga damo za eno uro še v hladilnik, saj v ohlajenega lažje zarežemo lep vzorec.6. Pečico segrejemo skupaj s posodo s pokrovom, v kateri bomo pekli kruh na 240 stopinjah. Kruh, ki je primerno vzhajan za peko, obrnemo na desko, pokrito s peki papirjem in zarežemo v hlebec vzorec. Iz pečice vzamemo vročo posodo, jo odkrijemo, z deske stresemo hlebec v posodo in jo pokrijemo ter  damo kruh v vročo pečico. Kruh pečemo pol ure pri 240 stopinjah, nato ga vzamemo iz pečice, zmanjšamo temperaturo na 190 stopinj, odstranimo pokrov in damo posodo s kruhom nazaj v pečico za dvajset minut, da se do konca speče in lepo obarva.7. Pečeni kruh vzamemo iz pečice in hlebček damo na mrežo, ga pokrijemo in pustimo, da se ohladi.","1. faza: 5 dl vode 38 dag bele moke 20 dag polnozrnate pirine moke 2. faza: ½ kocke kvasa Fala 20 dag kislega testa (če ga imate) 4 žlice semen sončnice 1,5 male žličke soli "

Finska lososova juha,tradicionalna finska lososova juha,Urko_,20.7.2017,21391,,kuhanje,,"enolončnice, tople predjedi, juhe, glavne jedi",30 minut,"1. Na maslu prepražimo čebulo, dodamo na kocke narezan krompir in korenček ter zalijemo z jušno osnovo. Počakamo, da zavre ter kuhamo še 10 minut, da je krompir že skoraj kuhan.2. Dodamo na kocke narezan lososov file in smetano (za poletno različico lahko uporabimo tudi mleko) ter kuhamo še kakšnih 5 do 7 minut, da vse skupaj spet začne vreti.3. Odstavimo z ognja, po občutku dodamo sol, poper in svež koper ter pustimo počivati še kakšnih 10 minut.Finci vse skupaj postrežejo z rženim kruhom.","500 g fileja lososa 500 g krompirja 50 g masla 1 čebula 2 korenčka 1, 25 l ribje jušne osnove 250 ml smetane za kuhanje (ali mleka) sol poper sveži koper "

Paris - Brest pecivo za našo Anko,"pecivo, ki je nastalo daljnega leta 1891 v spomin kolesarki dirki med mestoma Pariz in Brest, narejeno iz paljenega testa in kreme, ter v obliki obroča, kateri spominja na kolo",Vrtejbenka,15.7.2017,21392,,"pečenje, kuhanje",,sladice,90 minut,"1. Vodo, maslo narezano na koščke in sol zavremo. Znižamo temperaturo in dodamo moko. Mešamo toliko časa, da nastana enotna  kepa, ki se lepo loči od posode. Testo preložimo v posodo mikserja in jo ohladimo,  da je mlačno. Šele sedaj začnemo dodajati jajca. Dodajamo vsakega posebej, ko je prvo dobro vmešamo v testo,  dodamo naslednjega.2. Testo preložimo v dresirno vrečko. Na peki papir narišemo krog. Da nam bo papir lepo stal na pekaču ga ""zalepimo"" spodaj na vsakem vogalu s testom. Dresirni vrečki odrežemo konico in naredimo prvi krog. Drugi krog testa naredimo tik zraven prvega, tretji krog testa pa na vrhu, v sredini, med prvim in drugim krogom.3, Obroč premažemo s stepenim jajcem in posujemo z mandljevimi lističi. Pečemo v že ogreti pečici na 210 stopinjah 15 minut, da nam testo lepo naraste, nato znižamo na 170 stopinj in pečemo še 30 - 35 minut. Po peki malo pripremo vrata pečice, da se obroč počasi ohlaja. Če ga takoj vzamemo ven, je velika verjetnost, da se nam sesede.4. Ohlajen obroč prerežemo, najbolje nam bo šlo z nožem - žagico. Nadevamo ga s poljubno kremo in sadjem.","2,5 dl vode 80 g masla ščep soli 150 g moke 4 srednje velika jajca 1 jajce mandljevi lističi krema po svojem okusu maline, borovnice, jagode... "

Pasijonkine sanje,"super osvežilna kombinacija pasijonke, maline in grškega jogurta za vroče poletne dni.",Eva1995,21.7.2017,21393,"rojstni dan otroka, piknik",,"pomlad, poletje",sladice,75 minut,"1. Pekač namastimo z maslom. Piškote damo v plastično vrečko in jih zdrobimo z valjarjem. Dodamo jim toliko stopljenega masla, da se delci piškotov lepijo skupaj. Maso stresemo v pekač in jo dobro potlačimo z žlico.2. Maline zmiksamo in jim dodamo sladkor po okusu ter vanilijev ekstrakt. 8 lističev želatine pripravimo, kot piše na embalaži in jih vmešamo v maline. Zlijemo na plast piškotov in postavimo v hladilnik, da se plast popolnoma strdi.3. Grški jogurt zmiksamo z medom in 12 lističi želatine (pripravljenih, kot piše na embalaži).4. Čez noč postavimo v hladilnik in naslednji dan okrasimo s pasijonko.",300 g Gran Cereale crocante con riso piškotov maslo 750 g malin sladkor (po okusu) čajna žlička vanilijevega ekstrakta 20 lističev želatine 1 kg grškega jogurta 6 jedilnih žlic medu 15 pasijonk 

